Full,mode,acc_mean,acc_std,,,,,,,acc_mean,acc_std,,,,,,,,,
,Full,0.72588652482269433,7.6754825609623668E-3,,,,,,,0.72588652482269433,7.6754825609623668E-3,,,,,,,,,
r8,,,,,,,,,r8,,,,,,,,,,,
,mode,acc_mean,acc_std,,,,,,,mode,acc_mean,acc_std,,,,,,,,
1,lora,0.78847517730496408,1.958397343472835E-3,,,,,,1,lora,0.78847517730496408,1.958397343472835E-3,,,,,,,,
2,flat_lora,0.78794326241134705,4.2182188841736615E-3,,,,,,2,flat_lora,0.78794326241134705,4.2182188841736615E-3,,,,,,,,
3,pacf,0.78918439716311994,2.5448049812778098E-3,,,,,,3,pacf,0.78918439716311994,2.5448049812778098E-3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
r16,,,,,,,,,r16,,,,,,,,,,,
,mode,acc_mean,acc_std,,,,,,,mode,acc_mean,acc_std,,,,,,,,
1,lora,0.78226950354609903,2.2286888457404433E-3,,,,,,1,lora,0.78226950354609903,2.2286888457404433E-3,,,,,,,,
2,flat_lora,0.78138297872340401,3.554953485064296E-3,,,,,,2,flat_lora,0.78138297872340401,3.554953485064296E-3,,,,,,,,
3,pacf,0.78794326241134682,4.5619433795276824E-3,,,,,,3,pacf,0.78794326241134682,4.5619433795276824E-3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
full,,,,,,,,,,,,,,,,,,,,
,dataset,rank,mode,seed,acc_last,loss_last,f1_last,acc_best,loss_best,f1_best,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,lr_lora,lr_full,weight_decay,dropout
1,dtd,8,lora,1,0.78829787234042503,0.80556992951859796,0.78566985915354104,0.78829787234042503,0.80556992951859796,0.78566985915354104,10,,,,32,8,5.0000000000000001E-4,,0,0.05
2,dtd,8,lora,2,0.79095744680850999,0.80033766031265197,0.78903710328127996,0.79095744680850999,0.80033766031265197,0.78903710328127996,10,,,,32,8,5.0000000000000001E-4,,0,0.05
3,dtd,8,lora,3,0.786170212765957,0.81486294624653199,0.78414745281630205,0.787765957446808,0.81891969036548695,0.78523230713868097,10,,,,32,8,5.0000000000000001E-4,,0,0.05
,,,,mean,0.78847517730496408,,,,,,,,,,,,,,,
,,,,std,1.958397343472835E-3,,,,,,,,,,,,,,,
4,dtd,8,flat_lora,1,0.78670212765957404,0.81577656953892796,0.78593183888912699,0.78829787234042503,0.81994431171011395,0.78691338144452605,10,0.05,,,32,8,5.0000000000000001E-4,,0,0.05
5,dtd,8,flat_lora,2,0.78351063829787204,0.81955469111178703,0.78065494500295396,0.78351063829787204,0.81955469111178703,0.78065494500295396,10,0.05,,,32,8,5.0000000000000001E-4,,0,0.05
6,dtd,8,flat_lora,3,0.79361702127659495,0.80334906172245102,0.79262282254430905,0.79574468085106298,0.80377030397983296,0.79452722974461798,10,0.05,,,32,8,5.0000000000000001E-4,,0,0.05
,,,,mean,0.78794326241134705,,,,,,,,,,,,,,,
,,,,std,4.2182188841736615E-3,,,,,,,,,,,,,,,
7,dtd,8,pacf,1,0.79042553191489295,0.80668145316712403,0.78816446339338098,0.79042553191489295,0.80668145316712403,0.78816446339338098,10,0.05,1E-4,0.3,32,8,5.0000000000000001E-4,,0,0.05
8,dtd,8,pacf,2,0.79148936170212703,0.80191757019529897,0.78961905545672495,0.79148936170212703,0.80191757019529897,0.78961905545672495,10,0.05,1E-4,0.3,32,8,5.0000000000000001E-4,,0,0.05
9,dtd,8,pacf,3,0.78563829787233996,0.81044968493441305,0.78379597390243905,0.78723404255319096,0.815416834709492,0.78437763437686503,10,0.05,1E-4,0.3,32,8,5.0000000000000001E-4,,0,0.05
,,,,mean,0.78918439716311994,,,,,,,,,,,,,,,
,,,,std,2.5448049812778098E-3,,,,,,,,,,,,,,,
r16,,,,,,,,,,,,,,,,,,,,
,dataset,rank,mode,seed,acc_last,loss_last,f1_last,acc_best,loss_best,f1_best,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,lr_lora,lr_full,weight_decay,dropout
1,dtd,16,lora,1,0.784574468085106,0.85040483322549298,0.78217731622759101,0.786170212765957,0.85246656296100998,0.78390855308767904,10,,,,32,16,5.0000000000000001E-4,,0,0.05
2,dtd,16,lora,2,0.78297872340425501,0.87427725259293898,0.78174633692606099,0.78297872340425501,0.87315376236083597,0.78167085293646799,10,,,,32,16,5.0000000000000001E-4,,0,0.05
3,dtd,16,lora,3,0.77925531914893598,0.84962098471661796,0.77724200103750796,0.78244680851063797,0.849516114529143,0.78062753637508897,10,,,,32,16,5.0000000000000001E-4,,0,0.05
,,,,mean,0.78226950354609903,,,,,,,,,,,,,,,
,,,,std,2.2286888457404433E-3,,,,,,,,,,,,,,,
4,dtd,16,flat_lora,1,0.77765957446808498,0.87537089839894699,0.77452601802621801,0.78031914893617005,0.88451159431579196,0.77764039019299303,10,0.05,,,32,16,5.0000000000000001E-4,,0,0.05
